config,n_params,step,nmse
k15/K15/ic512,10377136,10000,0.711551
k15/K15/ic512,10377136,20000,0.395129
k15/K15/ic512,10377136,30000,0.300000
k15/K15/ic512,10377136,40000,0.243377
k15/K15/ic512,10377136,50000,0.223946
k15/K20/ic256,6919061,10000,0.638000
k15/K20/ic256,6919061,20000,0.421621
k15/K20/ic256,6919061,30000,0.276881
k15/K20/ic256,6919061,40000,0.226356
k15/K20/ic256,6919061,50000,0.212231
k15/K20/ic256,6919061,60000,0.207513
k15/K20/ic256,6919061,70000,0.204979
k15/K20/ic256,6919061,80000,0.203602
k15/K20/ic256,6919061,90000,0.202181
k15/K20/ic256,6919061,100000,0.200940
k15/K20/ic256,6919061,110000,0.200298
k15/K20/ic256,6919061,120000,0.199601
k15/K20/ic256,6919061,130000,0.199079
k15/K20/ic256,6919061,140000,0.198559
k15/K20/ic256,6919061,150000,0.198022
k15/K20/ic256,6919061,160000,0.197746
k25/K10/ic256,9603531,10000,0.652577
k25/K10/ic256,9603531,20000,0.381591
k25/K10/ic256,9603531,30000,0.296805
k25/K10/ic256,9603531,40000,0.240645
k25/K10/ic256,9603531,50000,0.219812
k9/K10/ic128,624331,10000,0.617729
k9/K10/ic128,624331,20000,0.323124
k9/K10/ic128,624331,30000,0.241036
k9/K10/ic128,624331,40000,0.222017
k9/K10/ic128,624331,50000,0.216086
k9/K10/ic128,624331,60000,0.213409
k9/K10/ic128,624331,70000,0.211793
k9/K10/ic128,624331,80000,0.210682
k9/K10/ic128,624331,90000,0.209831
k9/K10/ic128,624331,100000,0.209130
k9/K10/ic128,624331,110000,0.208568
k9/K10/ic128,624331,120000,0.208008
k9/K10/ic128,624331,130000,0.207592
k9/K10/ic128,624331,140000,0.207209
k9/K10/ic128,624331,150000,0.206890
k9/K10/ic128,624331,160000,0.206596
k9/K10/ic128,624331,170000,0.206308
k9/K10/ic128,624331,180000,0.206035
k9/K10/ic128,624331,190000,0.205786
k9/K10/ic128,624331,200000,0.205571
k9/K10/ic256,1247691,10000,1.521227
k9/K10/ic256,1247691,20000,0.559281
k9/K10/ic256,1247691,30000,0.259843
k9/K10/ic256,1247691,40000,0.222201
k9/K10/ic256,1247691,50000,0.215516
k9/K20/ic128,1248661,10000,0.410065
k9/K20/ic256,2495381,10000,0.476155
k9/K20/ic256,2495381,20000,0.365032
k9/K20/ic256,2495381,30000,0.248912
k9/K20/ic256,2495381,40000,0.220458
