# ScCP indep : gap_max=0.895@t=0.94 gap_mean=0.717
t	ELS	IS	gap
0.020	0.687	0.323	0.364
0.040	0.643	0.332	0.312
0.060	0.654	0.324	0.331
0.080	0.674	0.325	0.349
0.100	0.705	0.312	0.393
0.120	0.742	0.328	0.414
0.140	0.773	0.351	0.421
0.160	0.799	0.364	0.436
0.180	0.814	0.365	0.449
0.200	0.829	0.359	0.471
0.220	0.844	0.337	0.507
0.240	0.860	0.299	0.560
0.260	0.869	0.255	0.613
0.280	0.879	0.234	0.644
0.300	0.889	0.220	0.669
0.320	0.900	0.199	0.701
0.340	0.910	0.189	0.721
0.360	0.920	0.171	0.749
0.380	0.928	0.166	0.762
0.400	0.936	0.162	0.774
0.420	0.946	0.159	0.787
0.440	0.955	0.156	0.800
0.460	0.961	0.151	0.810
0.480	0.967	0.146	0.821
0.500	0.971	0.141	0.830
0.520	0.975	0.139	0.836
0.540	0.979	0.138	0.841
0.560	0.982	0.138	0.844
0.580	0.984	0.139	0.845
0.600	0.986	0.138	0.849
0.620	0.988	0.135	0.853
0.640	0.990	0.134	0.856
0.660	0.991	0.133	0.859
0.680	0.992	0.131	0.862
0.700	0.993	0.130	0.863
0.720	0.993	0.129	0.864
0.740	0.994	0.128	0.866
0.760	0.995	0.128	0.866
0.780	0.995	0.129	0.866
0.800	0.995	0.128	0.867
0.820	0.996	0.128	0.868
0.840	0.996	0.128	0.868
0.860	0.996	0.128	0.868
0.880	0.997	0.103	0.893
0.900	0.997	0.104	0.894
0.920	0.998	0.104	0.894
0.940	0.998	0.104	0.895

# ScCP OT : gap_max=0.596@t=0.90 gap_mean=0.479
t	ELS	IS	gap
0.020	0.648	0.360	0.288
0.040	0.645	0.384	0.261
0.060	0.655	0.411	0.244
0.080	0.667	0.430	0.237
0.100	0.680	0.440	0.240
0.120	0.692	0.446	0.247
0.140	0.702	0.446	0.256
0.160	0.711	0.433	0.278
0.180	0.721	0.426	0.295
0.200	0.732	0.422	0.310
0.220	0.746	0.405	0.342
0.240	0.762	0.386	0.375
0.260	0.777	0.378	0.399
0.280	0.792	0.372	0.421
0.300	0.807	0.366	0.441
0.320	0.819	0.361	0.458
0.340	0.831	0.357	0.474
0.360	0.842	0.353	0.489
0.380	0.853	0.350	0.503
0.400	0.863	0.347	0.516
0.420	0.872	0.345	0.527
0.440	0.880	0.344	0.536
0.460	0.887	0.343	0.544
0.480	0.892	0.341	0.551
0.500	0.897	0.338	0.559
0.520	0.901	0.335	0.566
0.540	0.904	0.336	0.569
0.560	0.907	0.337	0.570
0.580	0.909	0.338	0.572
0.600	0.911	0.339	0.572
0.620	0.912	0.339	0.573
0.640	0.914	0.340	0.573
0.660	0.915	0.342	0.573
0.680	0.916	0.343	0.573
0.700	0.918	0.348	0.570
0.720	0.921	0.387	0.534
0.740	0.924	0.339	0.585
0.760	0.927	0.340	0.587
0.780	0.929	0.342	0.588
0.800	0.931	0.343	0.588
0.820	0.934	0.344	0.589
0.840	0.936	0.346	0.591
0.860	0.939	0.347	0.592
0.880	0.942	0.370	0.571
0.900	0.944	0.348	0.596
0.920	0.946	0.351	0.595
0.940	0.948	0.354	0.593

# ResNet indep : gap_max=0.394@t=0.48 gap_mean=0.168
t	ELS	IS	gap
0.020	0.206	0.914	-0.708
0.040	0.136	0.911	-0.776
0.060	0.174	0.905	-0.731
0.080	0.249	0.896	-0.647
0.100	0.343	0.891	-0.547
0.120	0.437	0.885	-0.448
0.140	0.525	0.874	-0.349
0.160	0.603	0.857	-0.254
0.180	0.672	0.823	-0.150
0.200	0.727	0.795	-0.068
0.220	0.769	0.764	0.006
0.240	0.807	0.721	0.086
0.260	0.842	0.688	0.154
0.280	0.874	0.672	0.202
0.300	0.901	0.673	0.228
0.320	0.921	0.655	0.266
0.340	0.936	0.637	0.299
0.360	0.946	0.624	0.322
0.380	0.954	0.610	0.344
0.400	0.961	0.601	0.360
0.420	0.968	0.596	0.372
0.440	0.976	0.592	0.384
0.460	0.981	0.587	0.393
0.480	0.985	0.590	0.394
0.500	0.988	0.616	0.371
0.520	0.989	0.616	0.373
0.540	0.990	0.616	0.374
0.560	0.992	0.616	0.376
0.580	0.994	0.617	0.377
0.600	0.995	0.616	0.379
0.620	0.996	0.616	0.380
0.640	0.996	0.615	0.381
0.660	0.997	0.614	0.382
0.680	0.997	0.613	0.384
0.700	0.997	0.613	0.384
0.720	0.998	0.614	0.384
0.740	0.998	0.617	0.381
0.760	0.998	0.616	0.382
0.780	0.999	0.616	0.383
0.800	0.999	0.616	0.383
0.820	0.999	0.616	0.383
0.840	0.999	0.616	0.383
0.860	0.999	0.617	0.382
0.880	0.999	0.617	0.382
0.900	0.999	0.617	0.382
0.920	0.999	0.618	0.382
0.940	0.999	0.617	0.382

# ResNet OT : gap_max=0.396@t=0.94 gap_mean=0.211
t	ELS	IS	gap
0.020	0.456	0.849	-0.392
0.040	0.428	0.858	-0.430
0.060	0.463	0.853	-0.390
0.080	0.514	0.852	-0.338
0.100	0.569	0.848	-0.279
0.120	0.622	0.842	-0.220
0.140	0.671	0.826	-0.154
0.160	0.715	0.794	-0.079
0.180	0.752	0.776	-0.024
0.200	0.786	0.761	0.025
0.220	0.817	0.748	0.069
0.240	0.847	0.732	0.115
0.260	0.875	0.718	0.157
0.280	0.898	0.709	0.188
0.300	0.917	0.706	0.212
0.320	0.934	0.701	0.234
0.340	0.946	0.690	0.256
0.360	0.953	0.679	0.275
0.380	0.959	0.667	0.292
0.400	0.964	0.657	0.308
0.420	0.969	0.649	0.320
0.440	0.974	0.643	0.331
0.460	0.978	0.633	0.345
0.480	0.983	0.629	0.354
0.500	0.987	0.631	0.355
0.520	0.989	0.637	0.352
0.540	0.991	0.636	0.355
0.560	0.993	0.635	0.357
0.580	0.994	0.634	0.360
0.600	0.995	0.621	0.374
0.620	0.996	0.619	0.377
0.640	0.996	0.618	0.379
0.660	0.997	0.617	0.379
0.680	0.997	0.617	0.380
0.700	0.997	0.617	0.380
0.720	0.998	0.617	0.380
0.740	0.998	0.626	0.372
0.760	0.998	0.610	0.389
0.780	0.999	0.608	0.390
0.800	0.999	0.607	0.392
0.820	0.999	0.606	0.393
0.840	0.999	0.606	0.393
0.860	0.999	0.605	0.394
0.880	0.999	0.605	0.395
0.900	1.000	0.604	0.395
0.920	1.000	0.604	0.396
0.940	1.000	0.604	0.396

# UNet indep : gap_max=0.300@t=0.86 gap_mean=0.020
t	ELS	IS	gap
0.020	0.191	0.994	-0.803
0.040	0.116	0.994	-0.877
0.060	0.131	0.993	-0.862
0.080	0.167	0.991	-0.824
0.100	0.215	0.987	-0.772
0.120	0.276	0.980	-0.704
0.140	0.340	0.961	-0.621
0.160	0.412	0.931	-0.519
0.180	0.487	0.914	-0.427
0.200	0.559	0.895	-0.336
0.220	0.638	0.853	-0.215
0.240	0.715	0.818	-0.102
0.260	0.779	0.814	-0.035
0.280	0.824	0.813	0.011
0.300	0.847	0.814	0.033
0.320	0.875	0.780	0.096
0.340	0.892	0.772	0.120
0.360	0.904	0.766	0.138
0.380	0.916	0.759	0.157
0.400	0.929	0.748	0.181
0.420	0.942	0.737	0.205
0.440	0.955	0.735	0.220
0.460	0.966	0.734	0.233
0.480	0.975	0.735	0.241
0.500	0.980	0.739	0.242
0.520	0.985	0.747	0.238
0.540	0.988	0.730	0.258
0.560	0.990	0.722	0.269
0.580	0.992	0.717	0.275
0.600	0.993	0.715	0.279
0.620	0.994	0.713	0.281
0.640	0.994	0.711	0.283
0.660	0.995	0.710	0.285
0.680	0.996	0.708	0.288
0.700	0.996	0.707	0.290
0.720	0.997	0.705	0.292
0.740	0.998	0.703	0.294
0.760	0.998	0.702	0.296
0.780	0.998	0.701	0.298
0.800	0.999	0.700	0.299
0.820	0.999	0.700	0.299
0.840	0.999	0.699	0.299
0.860	0.999	0.699	0.300
0.880	0.999	0.740	0.260
0.900	1.000	0.739	0.260
0.920	1.000	0.739	0.261
0.940	1.000	0.739	0.261

# UNet OT : gap_max=0.271@t=0.64 gap_mean=0.077
t	ELS	IS	gap
0.020	0.385	0.854	-0.469
0.040	0.348	0.876	-0.527
0.060	0.373	0.885	-0.511
0.080	0.413	0.910	-0.498
0.100	0.454	0.916	-0.462
0.120	0.495	0.922	-0.427
0.140	0.538	0.920	-0.382
0.160	0.582	0.910	-0.328
0.180	0.622	0.904	-0.282
0.200	0.661	0.886	-0.225
0.220	0.725	0.852	-0.127
0.240	0.791	0.823	-0.031
0.260	0.843	0.800	0.042
0.280	0.871	0.786	0.084
0.300	0.896	0.785	0.111
0.320	0.918	0.794	0.125
0.340	0.936	0.802	0.134
0.360	0.951	0.790	0.161
0.380	0.960	0.758	0.202
0.400	0.965	0.753	0.212
0.420	0.970	0.749	0.221
0.440	0.974	0.745	0.230
0.460	0.978	0.742	0.236
0.480	0.981	0.739	0.242
0.500	0.982	0.735	0.247
0.520	0.987	0.732	0.255
0.540	0.990	0.730	0.260
0.560	0.992	0.728	0.263
0.580	0.993	0.727	0.266
0.600	0.994	0.726	0.268
0.620	0.994	0.725	0.269
0.640	0.995	0.724	0.271
0.660	0.996	0.765	0.231
0.680	0.996	0.758	0.238
0.700	0.997	0.748	0.249
0.720	0.997	0.746	0.251
0.740	0.998	0.745	0.252
0.760	0.998	0.744	0.254
0.780	0.998	0.743	0.255
0.800	0.998	0.742	0.256
0.820	0.999	0.741	0.258
0.840	0.999	0.740	0.259
0.860	0.999	0.740	0.259
0.880	0.999	0.739	0.260
0.900	1.000	0.739	0.261
0.920	1.000	0.739	0.261
0.940	1.000	0.739	0.261

