Var(x1)=0.2663
t	den_x1	den_v	vel_x1	vel_v	mu_x1	mu_v
0.050	0.2607	0.1841	0.2889	0.2040	0.0014	0.0643
0.097	0.2707	0.1630	0.3320	0.1999	0.0013	0.0939
0.145	0.2711	0.1258	0.3709	0.1721	0.0011	0.1311
0.192	0.2641	0.0980	0.4045	0.1502	0.0010	0.1576
0.239	0.2567	0.0775	0.4433	0.1338	0.0009	0.1758
0.287	0.2716	0.0621	0.5343	0.1222	0.0008	0.2050
0.334	0.2599	0.0477	0.5858	0.1076	0.0008	0.2096
0.382	0.2693	0.0369	0.7051	0.0967	0.0007	0.2289
0.429	0.2719	0.0303	0.8341	0.0930	0.0007	0.2377
0.476	0.2702	0.0244	0.9839	0.0890	0.0007	0.2434
0.524	0.2723	0.0186	1.2017	0.0822	0.0007	0.2520
0.571	0.2643	0.0156	1.4361	0.0846	0.0006	0.2483
0.618	0.2614	0.0126	1.7915	0.0862	0.0007	0.2500
0.666	0.2639	0.0099	2.3656	0.0888	0.0006	0.2567
0.713	0.2668	0.0080	3.2397	0.0968	0.0006	0.2621
0.761	0.2591	0.0059	4.5365	0.1035	0.0006	0.2581
0.808	0.2610	0.0048	7.0790	0.1301	0.0006	0.2620
0.855	0.2655	0.0038	12.6286	0.1798	0.0006	0.2684
0.903	0.2594	0.0030	27.5682	0.3189	0.0006	0.2640
0.950	0.2600	0.0017	104.0175	0.6723	0.0006	0.2653

écart débruiteur (x1 - v) : petit t (t<0.3)=0.147  grand t (t>0.7)=0.257
