# MESURE 2 Lipschitz débruiteur modèles entraînés (indep) nq=16 P_ELS=7
t	ScCP (convexe)_med	ScCP (convexe)_p90	ResNet (libre)_med	ResNet (libre)_p90	UNet (libre)_med	UNet (libre)_p90	ELS cible_med	ELS cible_p90
0.050	0.991	1.143	0.534	0.631	0.655	0.782	0.294	0.308
0.140	1.680	2.112	1.938	2.113	2.727	4.000	1.190	1.274
0.230	2.745	3.025	3.629	4.271	3.817	5.071	1.987	2.171
0.320	3.476	4.032	5.299	6.555	4.256	6.095	2.795	3.030
0.410	3.885	4.616	4.408	5.337	3.653	5.922	3.335	3.764
0.500	3.593	4.415	3.651	4.695	2.970	4.391	3.043	3.949
0.590	2.542	3.027	2.648	3.635	2.580	2.902	2.615	3.242
0.680	2.212	2.439	2.384	2.869	2.178	2.806	2.432	3.412
0.770	1.668	1.868	1.634	2.039	1.573	1.769	2.973	3.458
0.860	1.414	1.623	1.437	1.897	1.291	1.478	4.299	6.832
0.950	1.287	1.389	1.253	1.323	1.048	1.067	9.949	14.998
