# MESURE 1 spectre Jacobien cible kNN (indep) npool=12000 k=64 nq=800
# lambda_max(Cov marginale) = 20.6182
t	fac	Jmax_med	Jmax_p90	Jmax_p99	Jmax_max	frac_J>1	PR	ftop1
0.050	0.055	1.3316	1.5804	1.8075	2.1807	0.9987	20.69	0.1158
0.100	0.123	3.0801	3.6756	4.2042	5.0275	1.0000	20.34	0.1202
0.150	0.208	5.1111	6.2806	7.5372	8.5697	1.0000	20.14	0.1205
0.200	0.312	7.3393	8.7322	10.8158	14.2485	1.0000	20.73	0.1168
0.250	0.444	10.3684	12.7776	17.1199	18.5072	1.0000	20.30	0.1188
0.300	0.612	14.3361	17.9638	28.2375	31.6194	1.0000	19.69	0.1261
0.350	0.828	18.9746	25.9752	40.3091	47.1545	1.0000	18.91	0.1350
0.400	1.111	25.5433	34.9910	49.1111	62.2799	1.0000	17.95	0.1446
0.450	1.488	32.4342	42.8198	57.0030	78.8410	1.0000	16.94	0.1540
0.500	2.000	39.6509	55.9387	73.2690	104.8464	1.0000	15.74	0.1569
0.550	2.716	47.2628	69.0147	92.1674	151.1774	1.0000	15.70	0.1559
0.600	3.750	58.7077	89.0866	125.3739	168.5688	1.0000	15.25	0.1544
0.650	5.306	80.2990	121.2021	177.5010	291.1271	1.0000	15.43	0.1513
0.700	7.778	115.4204	176.2129	261.1248	399.9100	1.0000	15.54	0.1512
0.750	12.000	173.5827	255.8563	379.6626	793.9047	1.0000	15.52	0.1488
0.800	20.000	282.7604	431.6546	613.7120	738.4493	1.0000	15.26	0.1503
0.850	37.778	515.5864	771.4052	1187.1548	1423.3773	1.0000	15.30	0.1494
0.900	90.000	1262.6951	1953.3616	2788.4263	3929.5266	1.0000	15.31	0.1505
0.950	380.000	5352.1553	7783.4106	11688.8359	16193.0166	1.0000	15.20	0.1494
