# MESURE 1 v2 Lipschitz débruiteur (indep) nsub=600 nq=16 P_ELS=7
t	Lg_med	Lg_p90	Lg_max	fe_g	Le_med	Le_p90	Le_max	fe_e
0.050	1.201	1.451	1.683	0.938	0.2885	0.2987	0.3063	0.000
0.140	6.234	9.976	13.379	1.000	1.1376	1.2694	1.3350	0.812
0.230	17.166	23.588	28.383	1.000	2.0806	2.1680	2.2408	1.000
0.320	21.736	43.097	59.374	0.938	2.7952	3.0693	3.1303	1.000
0.410	2.469	52.552	56.132	0.500	3.1098	3.6756	3.9343	1.000
0.500	0.026	3.494	18.645	0.312	3.2342	4.1945	4.6978	1.000
0.590	0.031	52.323	184.511	0.250	2.9150	3.3095	4.3610	1.000
0.680	0.000	11.421	38.254	0.125	2.5521	3.5098	3.6480	1.000
0.770	0.000	7.285	559.904	0.188	2.4510	3.0629	3.5765	1.000
0.860	0.000	0.000	0.206	0.000	4.0992	5.6269	6.8200	1.000
0.950	0.000	0.000	0.000	0.000	10.2917	19.6006	21.9196	1.000
