epoch	total	recon	vel
1	0.651878	0.155911	0.247984
2	0.604291	0.141948	0.231172
3	0.610375	0.144332	0.233022
4	0.627161	0.151656	0.237752
5	0.594607	0.135754	0.229426
6	0.490794	0.085977	0.202408
7	0.426068	0.062679	0.181694
8	0.404566	0.059127	0.172720
9	0.387785	0.055533	0.166126
10	0.388812	0.057711	0.165551
11	0.387769	0.057663	0.165053
12	0.384737	0.058299	0.163219
13	0.374751	0.055598	0.159577
14	0.370812	0.055605	0.157603
15	0.363652	0.052964	0.155344
16	0.363586	0.053961	0.154813
17	0.356299	0.051660	0.152320
18	0.350763	0.049898	0.150432
19	0.364557	0.054018	0.155269
20	0.361160	0.053004	0.154078
21	0.372819	0.057035	0.157892
22	0.361927	0.053885	0.154021
23	0.349893	0.050066	0.149913
24	0.362586	0.053853	0.154366
25	0.353505	0.050969	0.151268
26	0.365966	0.055336	0.155315
27	0.364805	0.055004	0.154901
28	0.363407	0.054445	0.154481
29	0.356119	0.051992	0.152063
30	0.362364	0.054793	0.153786
31	0.354810	0.053005	0.150903
32	0.354219	0.052831	0.150694
33	0.371479	0.057072	0.157203
34	0.365396	0.055871	0.154762
35	0.343435	0.048961	0.147237
36	0.371567	0.057831	0.156868
37	0.348098	0.050513	0.148792
38	0.365778	0.056904	0.154437
39	0.362352	0.056294	0.153029
40	0.340775	0.049050	0.145863
41	0.340139	0.049021	0.145559
42	0.345143	0.049958	0.147592
43	0.348860	0.051341	0.148760
44	0.358427	0.054928	0.151750
45	0.357210	0.053509	0.151850
46	0.356339	0.054519	0.150910
47	0.346196	0.050379	0.147908
48	0.354799	0.053523	0.150638
49	0.343164	0.049810	0.146677
50	0.355160	0.053448	0.150856
51	0.343596	0.050934	0.146331
52	0.353567	0.053708	0.149930
53	0.347356	0.050681	0.148338
54	0.360030	0.055827	0.152102
55	0.360439	0.055773	0.152333
56	0.360943	0.055422	0.152761
57	0.353010	0.052453	0.150279
58	0.351956	0.053177	0.149390
59	0.343544	0.050751	0.146397
60	0.360123	0.055008	0.152558
61	0.349735	0.053062	0.148337
62	0.347938	0.052523	0.147708
63	0.365980	0.058526	0.153727
64	0.378678	0.060738	0.158970
65	0.345877	0.050890	0.147493
66	0.348294	0.052823	0.147736
67	0.349269	0.053149	0.148060
68	0.365089	0.056939	0.154075
69	0.366200	0.058918	0.153641
70	0.347576	0.052364	0.147606
71	0.354489	0.053575	0.150457
72	0.358540	0.055163	0.151689
73	0.348624	0.051927	0.148348
74	0.344410	0.051084	0.146663
75	0.340046	0.048284	0.145881
76	0.341760	0.049681	0.146040
77	0.349646	0.052706	0.148470
78	0.349670	0.052661	0.148505
79	0.341620	0.050574	0.145523
80	0.360544	0.055709	0.152417
81	0.347065	0.052033	0.147516
82	0.351631	0.053746	0.148942
83	0.351975	0.053647	0.149164
84	0.349933	0.053185	0.148374
85	0.357661	0.055714	0.150974
86	0.345183	0.051340	0.146921
87	0.347387	0.052667	0.147360
88	0.344639	0.051158	0.146741
89	0.339333	0.050027	0.144653
90	0.333230	0.048689	0.142271
91	0.346032	0.051972	0.147030
92	0.344129	0.051719	0.146205
93	0.351220	0.053824	0.148698
94	0.336613	0.049038	0.143787
95	0.352367	0.053757	0.149305
96	0.333982	0.048986	0.142498
97	0.339270	0.049665	0.144802
98	0.342926	0.051343	0.145791
99	0.345158	0.051711	0.146723
100	0.358176	0.056140	0.151018
101	0.349947	0.053187	0.148380
102	0.351147	0.053966	0.148591
103	0.349769	0.053621	0.148074
104	0.345448	0.052425	0.146511
105	0.329627	0.046875	0.141376
106	0.347775	0.052152	0.147811
107	0.337919	0.049164	0.144377
108	0.348593	0.052797	0.147898
109	0.337425	0.049233	0.144096
110	0.336177	0.050277	0.142950
111	0.342964	0.051068	0.145948
112	0.339801	0.050238	0.144781
113	0.332074	0.048711	0.141681
114	0.345792	0.052430	0.146681
115	0.341098	0.050896	0.145101
116	0.350457	0.054587	0.147935
117	0.340427	0.050306	0.145060
118	0.355542	0.055340	0.150101
119	0.337963	0.049189	0.144387
120	0.358005	0.055731	0.151137
121	0.334778	0.048715	0.143032
122	0.344301	0.052279	0.146011
123	0.345809	0.052556	0.146627
124	0.350696	0.053849	0.148423
125	0.337819	0.050173	0.143823
126	0.338615	0.050351	0.144132
127	0.339818	0.050490	0.144664
128	0.352708	0.053313	0.149697
129	0.345723	0.051326	0.147198
130	0.341606	0.051053	0.145276
131	0.347887	0.052255	0.147816
132	0.328918	0.047193	0.140863
133	0.338282	0.049300	0.144491
134	0.345414	0.051467	0.146973
135	0.329846	0.047157	0.141344
136	0.331497	0.047303	0.142097
137	0.345227	0.051408	0.146909
138	0.332923	0.047115	0.142904
139	0.343803	0.051004	0.146400
140	0.336317	0.048664	0.143827
141	0.328339	0.046751	0.140794
142	0.321682	0.043945	0.138869
143	0.333351	0.048089	0.142631
144	0.337317	0.049351	0.143983
145	0.336109	0.048633	0.143738
146	0.336307	0.049448	0.143430
147	0.338595	0.049523	0.144536
148	0.333615	0.047787	0.142914
149	0.331235	0.046705	0.142265
150	0.345052	0.051229	0.146912
151	0.343124	0.050095	0.146514
152	0.331325	0.046893	0.142216
153	0.329266	0.046809	0.141228
154	0.329498	0.046473	0.141512
155	0.341533	0.050731	0.145401
156	0.341689	0.050522	0.145583
157	0.341816	0.048865	0.146476
158	0.335265	0.048254	0.143506
159	0.334126	0.046969	0.143579
160	0.330914	0.046610	0.142152
161	0.329616	0.046799	0.141408
162	0.333351	0.048270	0.142540
163	0.338978	0.050320	0.144329
164	0.331792	0.046764	0.142514
165	0.329211	0.046691	0.141260
166	0.331610	0.048141	0.141734
167	0.341764	0.050955	0.145404
168	0.329460	0.045370	0.142045
169	0.342096	0.049981	0.146057
170	0.334387	0.049124	0.142632
171	0.322506	0.045792	0.138357
172	0.336386	0.048362	0.144012
173	0.341235	0.051080	0.145077
174	0.334447	0.048715	0.142866
175	0.324084	0.045709	0.139187
176	0.334584	0.048027	0.143278
177	0.327027	0.046720	0.140154
178	0.330067	0.047772	0.141148
179	0.328005	0.047348	0.140328
180	0.342555	0.051525	0.145515
181	0.329447	0.046375	0.141536
182	0.333307	0.047258	0.143024
183	0.335736	0.049438	0.143149
184	0.341617	0.051334	0.145142
185	0.344320	0.052156	0.146082
186	0.330339	0.046559	0.141890
187	0.326916	0.045600	0.140658
188	0.329284	0.046206	0.141539
189	0.328762	0.045732	0.141515
190	0.334251	0.049204	0.142524
191	0.326126	0.045167	0.140479
192	0.345995	0.052750	0.146622
193	0.315126	0.042833	0.136146
194	0.325025	0.046159	0.139433
195	0.339797	0.050467	0.144665
196	0.333474	0.048021	0.142727
197	0.317015	0.043106	0.136955
198	0.326894	0.046875	0.140009
199	0.324749	0.045397	0.139676
200	0.315875	0.042903	0.136486
201	0.321758	0.044983	0.138387
202	0.306051	0.039566	0.133243
203	0.315488	0.042136	0.136676
204	0.336856	0.050611	0.143122
205	0.344256	0.052672	0.145792
206	0.330589	0.047926	0.141331
207	0.338398	0.050088	0.144155
208	0.326269	0.045660	0.140305
209	0.339891	0.051949	0.143971
210	0.347077	0.052791	0.147143
211	0.325963	0.047281	0.139341
212	0.319524	0.043907	0.137809
213	0.311659	0.041554	0.135052
214	0.323892	0.045621	0.139135
215	0.333709	0.048567	0.142571
216	0.314332	0.042601	0.135866
217	0.314510	0.042816	0.135847
218	0.325201	0.046283	0.139459
219	0.334161	0.049577	0.142292
220	0.327223	0.045625	0.140799
221	0.329427	0.046845	0.141291
222	0.321707	0.044989	0.138359
223	0.331722	0.047949	0.141886
224	0.341178	0.051228	0.144975
225	0.337366	0.048811	0.144277
226	0.318190	0.042959	0.137616
227	0.328339	0.046525	0.140907
228	0.337228	0.049642	0.143793
229	0.318580	0.043538	0.137521
230	0.327400	0.046902	0.140249
231	0.333571	0.050020	0.141775
232	0.332695	0.048473	0.142111
233	0.331483	0.049441	0.141021
234	0.321523	0.045570	0.137976
235	0.332313	0.047744	0.142284
236	0.327259	0.046658	0.140300
237	0.328869	0.046042	0.141414
238	0.340639	0.050893	0.144873
239	0.324366	0.047119	0.138623
240	0.323513	0.044140	0.139686
241	0.330151	0.047517	0.141317
242	0.318980	0.044878	0.137051
243	0.338253	0.050154	0.144049
244	0.331566	0.048319	0.141624
245	0.335708	0.048712	0.143498
246	0.333766	0.047918	0.142924
247	0.321935	0.045641	0.138147
248	0.335500	0.048900	0.143300
249	0.330145	0.048021	0.141062
250	0.321951	0.044447	0.138752
251	0.332346	0.047544	0.142401
252	0.329017	0.047476	0.140771
253	0.322765	0.045836	0.138465
254	0.319825	0.043739	0.138043
255	0.315842	0.043735	0.136054
256	0.323714	0.045037	0.139338
257	0.329352	0.047621	0.140866
258	0.329885	0.047599	0.141143
259	0.339814	0.049735	0.145039
260	0.339111	0.050028	0.144542
261	0.319589	0.044119	0.137735
262	0.322732	0.045161	0.138785
263	0.332355	0.049537	0.141409
264	0.321401	0.044641	0.138380
265	0.323838	0.045079	0.139380
266	0.315743	0.042846	0.136448
267	0.328809	0.047598	0.140606
268	0.330551	0.048206	0.141173
269	0.339646	0.050673	0.144486
270	0.319868	0.044376	0.137746
271	0.335301	0.049377	0.142962
272	0.326603	0.045609	0.140497
273	0.329489	0.046464	0.141513
274	0.331150	0.049295	0.140927
275	0.330545	0.048632	0.140956
276	0.326017	0.046716	0.139651
277	0.324339	0.046776	0.138781
278	0.313846	0.041881	0.135982
279	0.319094	0.044392	0.137351
280	0.308121	0.040122	0.133999
281	0.328274	0.046205	0.141035
282	0.325898	0.045896	0.140001
283	0.333225	0.047497	0.142864
284	0.331179	0.048156	0.141511
285	0.323485	0.044453	0.139516
286	0.325126	0.045514	0.139806
287	0.343309	0.052389	0.145460
288	0.323414	0.044544	0.139435
289	0.320969	0.043952	0.138509
290	0.325709	0.046628	0.139541
291	0.345609	0.052924	0.146343
292	0.326790	0.047549	0.139621
293	0.334700	0.050725	0.141988
294	0.326211	0.046359	0.139926
295	0.335624	0.051022	0.142301
296	0.328353	0.047332	0.140511
297	0.326006	0.047561	0.139223
298	0.332773	0.048453	0.142160
299	0.326899	0.046016	0.140441
300	0.321582	0.044705	0.138438
301	0.321624	0.046078	0.137773
302	0.312951	0.042216	0.135367
303	0.323210	0.045283	0.138964
304	0.325046	0.046673	0.139186
305	0.328815	0.048556	0.140130
306	0.328833	0.048256	0.140288
307	0.328344	0.046710	0.140817
308	0.315088	0.043110	0.135989
309	0.337481	0.050336	0.143573
310	0.330867	0.047354	0.141757
311	0.323908	0.046206	0.138851
312	0.320416	0.043301	0.138558
313	0.321482	0.045193	0.138145
314	0.312601	0.042425	0.135088
315	0.333217	0.048557	0.142330
316	0.318972	0.043720	0.137626
317	0.323263	0.046228	0.138518
318	0.323868	0.046538	0.138665
319	0.326120	0.046282	0.139919
320	0.324959	0.045102	0.139929
321	0.327765	0.046195	0.140785
322	0.326040	0.047086	0.139477
323	0.317036	0.044001	0.136518
324	0.333798	0.049358	0.142220
325	0.310219	0.041642	0.134289
326	0.343486	0.052620	0.145433
327	0.313533	0.043431	0.135051
328	0.342052	0.050984	0.145534
329	0.342963	0.051837	0.145563
330	0.340271	0.050797	0.144737
331	0.330875	0.048961	0.140957
332	0.330694	0.047938	0.141378
333	0.321821	0.044697	0.138562
334	0.312182	0.041989	0.135096
335	0.331190	0.048015	0.141587
336	0.327003	0.046141	0.140431
337	0.329416	0.046959	0.141228
338	0.331958	0.048991	0.141484
339	0.325123	0.046060	0.139531
340	0.332662	0.049072	0.141795
341	0.323851	0.046941	0.138455
342	0.323128	0.045664	0.138732
343	0.329769	0.047210	0.141280
344	0.324076	0.045813	0.139132
345	0.324590	0.047001	0.138794
346	0.318759	0.044418	0.137171
