model	K	ic	params	epoch	loss
ScCP	5	32	13250	1	131.650446
ScCP	5	32	13250	2	24.866635
ScCP	5	32	13250	3	12.637704
ScCP	5	32	13250	4	2.924321
ScCP	5	32	13250	5	2.787206
ScCP	5	32	13250	6	2.351563
ScCP	5	32	13250	7	1.188760
ScCP	5	32	13250	8	1.550493
ScCP	5	32	13250	9	1.122198
ScCP	5	32	13250	10	1.022093
ScCP	5	32	13250	11	0.831874
ScCP	5	32	13250	12	0.820250
ScCP	5	32	13250	13	0.754488
ScCP	5	32	13250	14	1.110696
ScCP	5	32	13250	15	0.641952
ScCP	5	32	13250	16	0.564441
ScCP	5	32	13250	17	0.547228
ScCP	5	32	13250	18	0.470110
ScCP	5	32	13250	19	0.459115
ScCP	5	32	13250	20	0.437702
ScCP	5	32	13250	21	0.431005
ScCP	5	32	13250	22	0.414680
ScCP	5	32	13250	23	0.439830
ScCP	5	32	13250	24	0.399420
ScCP	5	32	13250	25	0.394174
ScCP	5	32	13250	26	0.383870
ScCP	5	32	13250	27	0.375921
ScCP	5	32	13250	28	0.410603
ScCP	5	32	13250	29	0.382534
ScCP	5	32	13250	30	0.362078
ScCP	5	32	13250	31	0.357619
ScCP	5	32	13250	32	0.355417
ScCP	5	32	13250	33	0.355578
ScCP	5	32	13250	34	0.387149
ScCP	5	32	13250	35	0.354208
ScCP	5	32	13250	36	0.340755
ScCP	5	32	13250	37	0.347779
ScCP	5	32	13250	38	0.343151
ScCP	5	32	13250	39	0.338432
ScCP	5	32	13250	40	0.329161
ScCP	5	32	13250	41	0.333319
ScCP	5	32	13250	42	0.335611
ScCP	5	32	13250	43	0.334299
ScCP	5	32	13250	44	0.318256
ScCP	5	32	13250	45	0.351410
ScCP	5	32	13250	46	0.326946
ScCP	5	32	13250	47	0.338948
ScCP	5	32	13250	48	0.315379
ScCP	5	32	13250	49	0.322134
ScCP	5	32	13250	50	0.323386
ScCP	5	64	26370	1	299.267620
ScCP	5	64	26370	2	17.253549
ScCP	5	64	26370	3	3.813188
ScCP	5	64	26370	4	4.079150
ScCP	5	64	26370	5	1.348248
ScCP	5	64	26370	6	0.875500
ScCP	5	64	26370	7	0.898470
ScCP	5	64	26370	8	0.668587
ScCP	5	64	26370	9	0.703173
ScCP	5	64	26370	10	0.569176
ScCP	5	64	26370	11	0.494212
ScCP	5	64	26370	12	0.492862
ScCP	5	64	26370	13	0.528466
ScCP	5	64	26370	14	0.460536
ScCP	5	64	26370	15	0.424030
ScCP	5	64	26370	16	0.445666
ScCP	5	64	26370	17	0.404219
ScCP	5	64	26370	18	0.387851
ScCP	5	64	26370	19	0.404988
ScCP	5	64	26370	20	0.393057
ScCP	5	64	26370	21	0.368500
ScCP	5	64	26370	22	0.371120
ScCP	5	64	26370	23	0.359539
ScCP	5	64	26370	24	0.356532
ScCP	5	64	26370	25	0.359144
ScCP	5	64	26370	26	0.350946
ScCP	5	64	26370	27	0.342208
ScCP	5	64	26370	28	0.347813
ScCP	5	64	26370	29	0.324526
ScCP	5	64	26370	30	0.361911
ScCP	5	64	26370	31	0.336332
ScCP	5	64	26370	32	0.336750
ScCP	5	64	26370	33	0.324799
ScCP	5	64	26370	34	0.326010
ScCP	5	64	26370	35	0.325761
ScCP	5	64	26370	36	0.342445
ScCP	5	64	26370	37	0.336160
ScCP	5	64	26370	38	0.317260
ScCP	5	64	26370	39	0.337646
ScCP	5	64	26370	40	0.311994
ScCP	5	64	26370	41	0.322955
ScCP	5	64	26370	42	0.310292
ScCP	5	64	26370	43	0.307937
ScCP	5	64	26370	44	0.304147
ScCP	5	64	26370	45	0.315886
ScCP	5	64	26370	46	0.311172
ScCP	5	64	26370	47	0.306427
ScCP	5	64	26370	48	0.298943
ScCP	5	64	26370	49	0.334787
ScCP	5	64	26370	50	0.292827
ScCP	5	128	52610	1	361.910301
ScCP	5	128	52610	2	117.256209
ScCP	5	128	52610	3	28.276369
ScCP	5	128	52610	4	7.209417
ScCP	5	128	52610	5	1.247072
ScCP	5	128	52610	6	0.883846
ScCP	5	128	52610	7	0.730388
ScCP	5	128	52610	8	0.538568
ScCP	5	128	52610	9	0.464823
ScCP	5	128	52610	10	0.431189
ScCP	5	128	52610	11	0.393369
ScCP	5	128	52610	12	0.458952
ScCP	5	128	52610	13	0.375160
ScCP	5	128	52610	14	0.357899
ScCP	5	128	52610	15	0.348357
ScCP	5	128	52610	16	0.344317
ScCP	5	128	52610	17	0.329756
ScCP	5	128	52610	18	0.328731
ScCP	5	128	52610	19	0.328086
ScCP	5	128	52610	20	0.314573
ScCP	5	128	52610	21	0.313909
ScCP	5	128	52610	22	0.309413
ScCP	5	128	52610	23	0.302668
ScCP	5	128	52610	24	0.311385
ScCP	5	128	52610	25	0.308392
ScCP	5	128	52610	26	0.302140
ScCP	5	128	52610	27	0.293594
ScCP	5	128	52610	28	0.295487
ScCP	5	128	52610	29	0.296738
ScCP	5	128	52610	30	0.295140
ScCP	5	128	52610	31	0.290006
ScCP	5	128	52610	32	0.289669
ScCP	5	128	52610	33	0.280598
ScCP	5	128	52610	34	0.299206
ScCP	5	128	52610	35	0.294945
ScCP	5	128	52610	36	0.279153
ScCP	5	128	52610	37	0.281954
ScCP	5	128	52610	38	0.281276
ScCP	5	128	52610	39	0.281320
ScCP	5	128	52610	40	0.278116
ScCP	5	128	52610	41	0.296247
ScCP	5	128	52610	42	0.276675
ScCP	5	128	52610	43	0.286599
ScCP	5	128	52610	44	0.274625
ScCP	5	128	52610	45	0.271430
ScCP	5	128	52610	46	0.272129
ScCP	5	128	52610	47	0.293755
ScCP	5	128	52610	48	0.284668
ScCP	5	128	52610	49	0.272273
ScCP	5	128	52610	50	0.269270
ScCP	10	32	26500	1	21.506317
ScCP	10	32	26500	2	0.899118
ScCP	10	32	26500	3	0.651045
ScCP	10	32	26500	4	0.555531
ScCP	10	32	26500	5	0.486892
ScCP	10	32	26500	6	0.450585
ScCP	10	32	26500	7	0.436086
ScCP	10	32	26500	8	0.407235
ScCP	10	32	26500	9	0.387829
ScCP	10	32	26500	10	0.380661
ScCP	10	32	26500	11	0.369049
ScCP	10	32	26500	12	0.360443
ScCP	10	32	26500	13	0.360979
ScCP	10	32	26500	14	0.358673
ScCP	10	32	26500	15	0.336677
ScCP	10	32	26500	16	0.350774
ScCP	10	32	26500	17	0.345405
ScCP	10	32	26500	18	0.328252
ScCP	10	32	26500	19	0.336046
ScCP	10	32	26500	20	0.322856
ScCP	10	32	26500	21	0.335983
ScCP	10	32	26500	22	0.321683
ScCP	10	32	26500	23	0.323774
ScCP	10	32	26500	24	0.308172
ScCP	10	32	26500	25	0.329865
ScCP	10	32	26500	26	0.306540
ScCP	10	32	26500	27	0.317520
ScCP	10	32	26500	28	0.300329
ScCP	10	32	26500	29	0.312170
ScCP	10	32	26500	30	0.301439
ScCP	10	32	26500	31	0.296331
ScCP	10	32	26500	32	0.294801
ScCP	10	32	26500	33	0.302827
ScCP	10	32	26500	34	0.297343
ScCP	10	32	26500	35	0.289619
ScCP	10	32	26500	36	0.294419
ScCP	10	32	26500	37	0.297754
ScCP	10	32	26500	38	0.300183
ScCP	10	32	26500	39	0.292615
ScCP	10	32	26500	40	0.299932
ScCP	10	32	26500	41	0.295550
ScCP	10	32	26500	42	0.291453
ScCP	10	32	26500	43	0.301059
ScCP	10	32	26500	44	0.290718
ScCP	10	32	26500	45	0.289177
ScCP	10	32	26500	46	0.293289
ScCP	10	32	26500	47	0.281506
ScCP	10	32	26500	48	0.284252
ScCP	10	32	26500	49	0.286429
ScCP	10	32	26500	50	0.278801
ScCP	10	64	52740	1	158.533206
ScCP	10	64	52740	2	39.988324
ScCP	10	64	52740	3	9.869720
ScCP	10	64	52740	4	5.941967
ScCP	10	64	52740	5	1.269958
ScCP	10	64	52740	6	0.775180
ScCP	10	64	52740	7	0.599111
ScCP	10	64	52740	8	0.523689
ScCP	10	64	52740	9	0.472209
ScCP	10	64	52740	10	0.448565
ScCP	10	64	52740	11	0.432965
ScCP	10	64	52740	12	0.398989
ScCP	10	64	52740	13	0.372562
ScCP	10	64	52740	14	0.353741
ScCP	10	64	52740	15	0.351238
ScCP	10	64	52740	16	0.361034
ScCP	10	64	52740	17	0.352243
ScCP	10	64	52740	18	0.333318
ScCP	10	64	52740	19	0.332521
ScCP	10	64	52740	20	0.327697
ScCP	10	64	52740	21	0.327223
ScCP	10	64	52740	22	0.339411
ScCP	10	64	52740	23	0.319753
ScCP	10	64	52740	24	0.353211
ScCP	10	64	52740	25	0.312392
ScCP	10	64	52740	26	0.310516
ScCP	10	64	52740	27	0.302532
ScCP	10	64	52740	28	0.318255
ScCP	10	64	52740	29	0.310543
ScCP	10	64	52740	30	0.300265
ScCP	10	64	52740	31	0.304657
ScCP	10	64	52740	32	0.313109
ScCP	10	64	52740	33	0.289378
ScCP	10	64	52740	34	0.294850
ScCP	10	64	52740	35	0.293691
ScCP	10	64	52740	36	0.291129
ScCP	10	64	52740	37	0.298783
ScCP	10	64	52740	38	0.287411
ScCP	10	64	52740	39	0.285161
ScCP	10	64	52740	40	0.303070
ScCP	10	64	52740	41	0.288433
ScCP	10	64	52740	42	0.297570
ScCP	10	64	52740	43	0.288362
ScCP	10	64	52740	44	0.277740
ScCP	10	64	52740	45	0.280977
