model_name	n_params	final_loss	final_w2_error	train_time_s	status
MLP_baseline	4546	0.041400	0.208344	37.6	OK
ScCP_UNN_L1_LFO_K5	1126	0.061029	0.249545	52.9	OK
ScCP_UNN_L1_LNO_K5	810	0.044077	0.206906	61.4	OK
ScCP_UNN_L1_LFO_K10	2251	0.055595	0.257532	70.6	OK
ScCP_UNN_L1_LNO_K10	1620	0.035783	0.191493	86.7	OK
ScCP_UNN_L1_LFO_K15	3376	0.052125	0.293594	87.6	OK
ScCP_UNN_L1_LNO_K15	2430	0.035667	0.313986	112.0	OK
ScCP_UNN_L1_LFO_dual16	1611	0.060489	0.274768	69.1	OK
ScCP_UNN_L1_LNO_dual16	1300	0.038735	0.238698	84.8	OK
ScCP_UNN_L1_LFO_dual32	2251	0.055509	0.248191	68.8	OK
ScCP_UNN_L1_LNO_dual32	1620	0.035074	0.212148	84.6	OK
ScCP_UNN_L1_LFO_dual64	3531	0.050728	0.259692	68.3	OK
ScCP_UNN_L1_LNO_dual64	2260	0.035743	0.225475	84.0	OK
DFB_UNN_L1_LFO_K5	1255	0.074765	0.285230	52.7	OK
DFB_UNN_L1_LNO_K5	930	0.075836	0.317482	57.0	OK
DFB_UNN_L1_LFO_K10	2510	0.102228	0.299982	72.8	OK
DFB_UNN_L1_LNO_K10	1860	0.141603	0.528348	81.3	OK
DFB_UNN_L1_LFO_K15	3765	0.083254	0.304496	91.9	OK
DFB_UNN_L1_LNO_K15	2790	0.051073	0.236940	106.2	OK
DFB_UNN_L1_LFO_dual16	1870	0.107796	0.410512	70.9	OK
DFB_UNN_L1_LNO_dual16	1540	0.055187	0.259801	80.9	OK
DFB_UNN_L1_LFO_dual32	2510	0.086113	0.357033	71.8	OK
DFB_UNN_L1_LNO_dual32	1860	0.059926	0.282187	81.8	OK
DFB_UNN_L1_LFO_dual64	3790	0.077543	0.289610	70.6	OK
DFB_UNN_L1_LNO_dual64	2500	0.059734	0.260614	82.7	OK
