model_name	n_params	final_loss	final_w2_error	train_time_s	status
MLP_baseline	4546	0.039175	0.206517	38.0	OK
ScCP_UNN_L1_LFO_K1	162	0.193687	0.595811	38.7	OK
ScCP_UNN_L1_LNO_K1	130	0.188744	0.563229	40.0	OK
ScCP_UNN_L1_LFO_K3	484	0.090034	0.344719	46.1	OK
ScCP_UNN_L1_LNO_K3	390	0.052839	0.247246	51.3	OK
ScCP_UNN_L1_LFO_K5	806	0.066477	0.307085	53.5	OK
ScCP_UNN_L1_LNO_K5	650	0.046128	0.316847	61.3	OK
ScCP_UNN_L1_LFO_dual4	340	0.115965	0.465076	46.3	OK
ScCP_UNN_L1_LNO_dual4	318	0.066625	0.283233	51.0	OK
ScCP_UNN_L1_LFO_dual8	388	0.107039	0.394294	46.3	OK
ScCP_UNN_L1_LNO_dual8	342	0.054200	0.227463	51.6	OK
ScCP_UNN_L1_LFO_dual16	484	0.086042	0.363613	46.5	OK
ScCP_UNN_L1_LNO_dual16	390	0.051264	0.252381	51.9	OK
DFB_UNN_L1_LFO_K1	187	0.200845	0.598882	41.8	OK
DFB_UNN_L1_LNO_K1	154	0.198345	0.626511	41.1	OK
DFB_UNN_L1_LFO_K3	561	0.084717	0.273493	49.4	OK
DFB_UNN_L1_LNO_K3	462	0.085887	0.349266	54.4	OK
DFB_UNN_L1_LFO_K5	935	0.085362	0.322362	56.1	OK
DFB_UNN_L1_LNO_K5	770	0.060716	0.289960	62.9	OK
DFB_UNN_L1_LFO_dual4	417	0.125207	0.484371	49.2	OK
DFB_UNN_L1_LNO_dual4	390	0.093104	0.362722	54.6	OK
DFB_UNN_L1_LFO_dual8	465	0.131006	0.494079	49.8	OK
DFB_UNN_L1_LNO_dual8	414	0.106655	0.426619	54.5	OK
DFB_UNN_L1_LFO_dual16	561	0.085380	0.323632	49.7	OK
DFB_UNN_L1_LNO_dual16	462	0.095631	0.359250	54.8	OK
