model_name	n_params	final_loss	train_time_s	status
MLP_baseline	17282	1.846668	9.3	OK
DiFB_UNN_LFO	85450	1.786182	31.0	OK
DiFB_UNN_LNO	84800	1.772283	43.3	OK
ScCP_UNN_LFO	85443	1.845280	40.9	OK
ScCP_UNN_LNO	84802	1.885544	54.6	OK
DiFB_UNN_L1_LFO	2260	1.793361	37.1	OK
DiFB_UNN_L1_LNO	1610	1.777608	47.9	OK
ScCP_UNN_L1_LFO	2253	1.910216	45.1	OK
ScCP_UNN_L1_LNO	1612	2.173878	55.9	OK
SharedDFB_UNN_LFO_fixed	8545	1.908603	42.0	OK
SharedDFB_UNN_LNO_fixed	8480	1.868472	48.8	OK
SharedDFB_UNN_L1_LFO_fixed	226	2.717057	33.6	OK
SharedDFB_UNN_L1_LNO_fixed	161	2.342830	35.6	OK
