model_name	n_params	final_loss	train_time_s	status
MLP_baseline	2658064	0.711945	31.7	OK
UNet_torchCFM_baseline	1075361	0.259072	207.1	OK
UNet_baseline	764033	0.263729	45.0	OK
SmallUNet_baseline	176705	0.273113	36.6	OK
DiFB_UNN_LFO	16978090	0.896297	50.6	OK
DiFB_UNN_LNO	10831520	0.922659	62.3	OK
CP_UNN_LFO	5093430	0.810266	32.1	OK
CP_UNN_LNO	3249459	1.100166	34.0	OK
ConvDFB_UNN_LFO	788501	0.270132	266.2	OK
ConvDFB_UNN_LNO	776961	0.270730	265.0	OK
ConvCP_UNN_LFO	118279	0.299616	44.0	OK
ConvCP_UNN_LNO	116548	0.298022	50.7	OK
SharedConvDFB_UNet_LFO_rand	200098	0.266655	321.0	OK
SharedConvDFB_UNet_LNO_rand	199521	0.266168	317.1	OK
SharedConvDFB_UNet_LFO_fixed	200098	0.266776	162.9	OK
SharedConvDFB_UNet_LNO_fixed	199521	0.265313	163.8	OK
SharedConvDFB_DCT_LFO_fixed	39426	0.287777	77.7	OK
SharedConvDFB_DCT_LNO_fixed	38849	0.283808	74.5	OK
SharedConvCP_UNet_LNO_rand	199522	0.270659	325.5	OK
SharedConvCP_UNet_LFO_rand	200099	0.273150	323.7	OK
SharedConvCP_UNet_LFO_fixed	200099	0.266470	164.9	OK
SharedConvCP_UNet_LNO_fixed	199522	0.268045	172.7	OK
SharedConvCP_DCT_LFO_rand	39427	0.284856	141.6	OK
SharedConvCP_DCT_LNO_rand	38850	0.283792	4150.2	OK
ScCP_UNN_LFO	4004211	1.061691	32.8	OK
ScCP_UNN_LNO	2160242	1.103131	35.2	OK
SharedConvScCP_UNet_LFO_rand	200100	0.276185	324.6	OK
SharedConvScCP_UNet_LNO_rand	199523	0.273858	331.3	OK
SharedConvScCP_UNet_LFO_fixed	200100	0.263843	160.8	OK
SharedConvScCP_UNet_LNO_fixed	199523	0.266178	164.9	OK
SharedConvScCP_DCT_LFO_rand	39428	0.287425	163.9	OK
SharedConvScCP_DCT_LNO_rand	38851	0.293971	145.0	OK
