model_name	final_loss	status
MLP_baseline	0.770198	OK
SmallUNet_baseline	0.319152	OK
DiFB_UNN_LFO	0.914043	OK
DiFB_UNN_LNO	0.908330	OK
CP_UNN_LFO	0.639803	OK
CP_UNN_LNO	1.145864	OK
ConvDFB_UNN_LFO	0.319030	OK
ConvDFB_UNN_LNO	0.322613	OK
ConvCP_UNN_LFO	0.346069	OK
ConvCP_UNN_LNO	0.348399	OK
SharedConvDFB_UNet_LFO_rand	0.317981	OK
SharedConvDFB_UNet_LNO_rand	0.317933	OK
SharedConvDFB_UNet_LFO_fixed	0.316358	OK
SharedConvDFB_UNet_LNO_fixed	0.315581	OK
SharedConvDFB_DCT_LFO_fixed	0.334648	OK
SharedConvDFB_DCT_LNO_fixed	0.333490	OK
SharedConvCP_UNet_LNO_rand	0.322691	OK
SharedConvCP_UNet_LFO_rand	0.321568	OK
SharedConvCP_UNet_LFO_fixed	0.316178	OK
SharedConvCP_UNet_LNO_fixed	0.318617	OK
SharedConvCP_DCT_LFO_rand	0.332816	OK
SharedConvCP_DCT_LNO_rand	0.335678	OK
