epoch	total	loss_v	loss_u
1	2.956710	2.956710	0.002898
2	2.753915	2.753915	0.010779
3	2.640077	2.640077	0.012726
4	2.562510	2.562510	0.015567
5	2.474299	2.474299	0.017084
6	2.369907	2.369907	0.018637
7	2.234335	2.234335	0.024695
8	2.172574	2.172574	0.030397
9	2.163883	2.163883	0.032971
10	2.160396	2.160396	0.033532
11	2.098363	2.098363	0.033709
12	2.119489	2.119489	0.035030
13	2.137312	2.137312	0.034848
14	2.095053	2.095053	0.035369
15	2.124473	2.124473	0.036343
16	2.097097	2.097097	0.036359
17	2.084944	2.084944	0.036279
18	2.106279	2.106279	0.035387
19	2.089095	2.089095	0.036846
20	2.041179	2.041179	0.036861
21	2.072373	2.072373	0.036774
22	2.058724	2.058724	0.037211
23	2.086752	2.086752	0.036344
24	2.061719	2.061719	0.037339
25	2.091716	2.091716	0.038080
26	2.055835	2.055835	0.038201
27	2.068890	2.068890	0.038595
28	2.082750	2.082750	0.038122
29	2.077585	2.077585	0.038901
30	2.076039	2.076039	0.039376
31	2.082835	2.082835	0.038874
32	2.070980	2.070980	0.038225
33	2.079676	2.079676	0.039385
34	2.061220	2.061220	0.037675
35	2.024564	2.024564	0.037653
36	2.056186	2.056186	0.038494
37	2.057180	2.057180	0.038686
38	2.040609	2.040609	0.038627
39	2.053745	2.053745	0.038761
40	2.056812	2.056812	0.039222
41	2.005683	2.005683	0.038775
42	2.016672	2.016672	0.038784
43	2.034648	2.034648	0.038276
44	2.028570	2.028570	0.039397
45	2.043026	2.043026	0.039986
46	2.020203	2.020203	0.040525
47	2.036748	2.036748	0.039671
48	2.038751	2.038751	0.039716
49	2.039861	2.039861	0.040534
50	2.041023	2.041023	0.040586
51	2.020311	2.020311	0.039156
52	2.030240	2.030240	0.040164
53	2.013884	2.013884	0.039431
54	2.027408	2.027408	0.039391
55	2.020010	2.020010	0.039458
56	2.034448	2.034448	0.040631
57	2.022423	2.022423	0.040303
58	2.026377	2.026377	0.039927
59	2.043128	2.043128	0.040849
60	2.021684	2.021684	0.040894
61	1.996195	1.996195	0.040647
62	2.033280	2.033280	0.042791
63	2.036169	2.036169	0.041212
64	2.024450	2.024450	0.041822
65	2.015608	2.015608	0.041764
66	2.041765	2.041765	0.041793
67	1.990460	1.990460	0.042494
68	2.043591	2.043591	0.043599
69	2.034543	2.034543	0.043516
70	2.007314	2.007314	0.042390
71	2.012319	2.012319	0.045034
72	2.017900	2.017900	0.044547
73	2.019096	2.019096	0.044897
74	2.010221	2.010221	0.046935
75	2.010705	2.010705	0.047385
76	1.983939	1.983939	0.048577
77	2.002619	2.002619	0.049953
78	1.984878	1.984878	0.051866
79	1.949697	1.949697	0.053234
80	1.969258	1.969258	0.054194
81	1.956936	1.956936	0.055533
82	1.972238	1.972238	0.059994
83	1.936251	1.936251	0.060225
84	1.949967	1.949967	0.061716
85	1.949499	1.949499	0.063840
86	1.940965	1.940965	0.064189
87	1.930851	1.930851	0.066827
88	1.958560	1.958560	0.066940
89	1.932225	1.932225	0.067415
90	1.921110	1.921110	0.068256
91	1.941655	1.941655	0.068353
92	1.943127	1.943127	0.069813
93	1.917768	1.917768	0.069299
94	1.925498	1.925498	0.071372
95	1.936000	1.936000	0.070443
96	1.945887	1.945887	0.069892
97	1.931658	1.931658	0.070011
98	1.919827	1.919827	0.069359
99	1.930261	1.930261	0.069367
100	1.915125	1.915125	0.070143
