epoch	total	loss_v	loss_u
1	2.886178	2.886006	0.171561
2	2.728153	2.727768	0.385133
3	2.677699	2.677238	0.460922
4	2.569000	2.568470	0.529207
5	2.491145	2.490578	0.566828
6	2.228661	2.228263	0.398398
7	2.158119	2.157845	0.273990
8	2.132003	2.131750	0.252878
9	2.155768	2.155538	0.229575
10	2.123570	2.123360	0.210084
11	2.126164	2.125958	0.205709
12	2.104396	2.104202	0.194124
13	2.104719	2.104525	0.193911
14	2.114968	2.114766	0.202227
15	2.061727	2.061529	0.198076
16	2.098091	2.097881	0.210731
17	2.059842	2.059627	0.215770
18	2.078382	2.078159	0.223747
19	2.060372	2.060136	0.236177
20	2.080068	2.079832	0.236343
21	2.089141	2.088890	0.250868
22	2.092817	2.092558	0.258997
23	2.073609	2.073335	0.273700
24	2.072657	2.072375	0.282031
25	2.095943	2.095660	0.283430
26	2.079583	2.079284	0.298581
27	2.049245	2.048934	0.310578
28	2.064396	2.064072	0.324307
29	2.060752	2.060426	0.325480
30	2.015400	2.015079	0.320944
31	2.038065	2.037735	0.329589
32	2.045203	2.044864	0.339153
33	2.037312	2.036975	0.337117
34	2.041210	2.040872	0.338198
35	1.995141	1.994798	0.343847
36	1.993700	1.993349	0.351639
37	1.981115	1.980753	0.362511
38	2.003508	2.003138	0.370214
39	1.984480	1.984108	0.372400
40	2.016638	2.016258	0.380409
41	1.983447	1.983063	0.384758
42	1.980350	1.979962	0.388601
43	1.968798	1.968400	0.397553
44	1.957415	1.957019	0.395564
45	1.948784	1.948390	0.393503
46	1.944121	1.943730	0.391508
47	1.931129	1.930731	0.398788
48	1.928734	1.928326	0.407693
49	1.930016	1.929607	0.408743
50	1.932137	1.931728	0.408269
51	1.928584	1.928166	0.417908
52	1.948240	1.947836	0.404079
53	1.925007	1.924609	0.398378
54	1.950908	1.950499	0.409304
55	1.906981	1.906567	0.413941
56	1.899745	1.899327	0.418304
57	1.906138	1.905711	0.426779
58	1.906083	1.905658	0.425033
59	1.880479	1.880049	0.430789
60	1.907102	1.906658	0.443594
61	1.884419	1.883976	0.442505
62	1.860286	1.859847	0.438715
63	1.888068	1.887621	0.447247
64	1.902370	1.901925	0.445348
65	1.909649	1.909213	0.436020
66	1.862254	1.861811	0.442845
67	1.862562	1.862115	0.447249
68	1.891350	1.890884	0.465874
69	1.857898	1.857434	0.463290
70	1.874231	1.873764	0.466385
71	1.879169	1.878719	0.450439
72	1.850334	1.849876	0.457377
73	1.883323	1.882866	0.457377
74	1.859502	1.859034	0.468752
75	1.821382	1.820912	0.470148
76	1.861057	1.860561	0.496684
77	1.827322	1.826841	0.480217
78	1.837102	1.836617	0.484612
79	1.856990	1.856504	0.485275
80	1.849923	1.849434	0.488347
81	1.854238	1.853732	0.506161
82	1.845716	1.845209	0.507146
83	1.841217	1.840705	0.512185
84	1.838246	1.837742	0.504881
85	1.885181	1.884661	0.520362
86	1.845079	1.844565	0.514614
87	1.828865	1.828336	0.528530
88	1.841209	1.840707	0.502833
89	1.843016	1.842489	0.526920
90	1.845274	1.844743	0.530827
91	1.847699	1.847191	0.507964
92	1.820940	1.820419	0.520542
93	1.811568	1.811021	0.547738
94	1.820621	1.820061	0.560015
95	1.877654	1.877091	0.562913
96	1.807737	1.807186	0.551560
97	1.816253	1.815675	0.577493
98	1.824249	1.823685	0.563696
99	1.813145	1.812593	0.552313
100	1.826898	1.826332	0.565851
