epoch	total	loss_v	loss_u
1	2.886004	2.886004	0.145808
2	2.727752	2.727752	0.252247
3	2.677027	2.677027	0.251077
4	2.568191	2.568191	0.253032
5	2.490079	2.490079	0.262006
6	2.228728	2.228728	0.289968
7	2.157882	2.157882	0.259305
8	2.130796	2.130796	0.255623
9	2.155352	2.155352	0.240719
10	2.122604	2.122604	0.224178
11	2.125344	2.125344	0.217307
12	2.103893	2.103893	0.206453
13	2.104058	2.104058	0.199493
14	2.114390	2.114390	0.198008
15	2.061526	2.061526	0.192109
16	2.097731	2.097731	0.195176
17	2.059912	2.059912	0.194051
18	2.078138	2.078138	0.191967
19	2.059544	2.059544	0.196472
20	2.079862	2.079862	0.193974
21	2.088960	2.088960	0.193880
22	2.092232	2.092232	0.194809
23	2.073289	2.073289	0.194678
24	2.072873	2.072873	0.195865
25	2.095923	2.095923	0.195269
26	2.079005	2.079005	0.195174
27	2.048486	2.048486	0.192985
28	2.063007	2.063007	0.191347
29	2.057612	2.057612	0.190553
30	2.013041	2.013041	0.188271
31	2.034243	2.034243	0.189676
32	2.041200	2.041200	0.189998
33	2.034552	2.034552	0.189793
34	2.038287	2.038287	0.189953
35	1.991840	1.991840	0.189867
36	1.992464	1.992464	0.191810
37	1.979767	1.979767	0.194197
38	2.002665	2.002665	0.200668
39	1.985296	1.985296	0.205029
40	2.015229	2.015229	0.210630
41	1.981997	1.981997	0.217488
42	1.976401	1.976401	0.222587
43	1.966940	1.966940	0.231093
44	1.954976	1.954976	0.235765
45	1.946112	1.946112	0.237922
46	1.939249	1.939249	0.240642
47	1.923632	1.923632	0.244189
48	1.925064	1.925064	0.250988
49	1.923475	1.923475	0.259563
50	1.927315	1.927315	0.260339
51	1.922412	1.922412	0.265432
52	1.942338	1.942338	0.267135
53	1.921621	1.921621	0.271061
54	1.948260	1.948260	0.277483
55	1.905319	1.905319	0.281935
56	1.895597	1.895597	0.286243
57	1.903548	1.903548	0.289605
58	1.902587	1.902587	0.292220
59	1.878039	1.878039	0.297533
60	1.904511	1.904511	0.306593
61	1.882727	1.882727	0.308946
62	1.860128	1.860128	0.310595
63	1.887259	1.887259	0.317541
64	1.901766	1.901766	0.321170
65	1.905857	1.905857	0.323252
66	1.861882	1.861882	0.323376
67	1.861499	1.861499	0.325688
68	1.890927	1.890927	0.336778
69	1.859218	1.859218	0.338656
70	1.873914	1.873914	0.341471
71	1.879312	1.879312	0.343011
72	1.848730	1.848730	0.349426
73	1.882798	1.882798	0.351860
74	1.857582	1.857582	0.355879
75	1.821342	1.821342	0.352329
76	1.859664	1.859664	0.358143
77	1.828893	1.828893	0.356384
78	1.839558	1.839558	0.361322
79	1.860968	1.860968	0.364007
80	1.853286	1.853286	0.366762
81	1.858236	1.858236	0.367097
82	1.845369	1.845369	0.366662
83	1.846509	1.846509	0.371896
84	1.840516	1.840516	0.373417
85	1.888192	1.888192	0.380146
86	1.847339	1.847339	0.378668
87	1.834702	1.834702	0.380271
88	1.838286	1.838286	0.378567
89	1.844461	1.844461	0.380492
90	1.844441	1.844441	0.384958
91	1.846815	1.846815	0.383141
92	1.822967	1.822967	0.383265
93	1.812913	1.812913	0.385872
94	1.821195	1.821195	0.389499
95	1.875742	1.875742	0.389860
96	1.810782	1.810782	0.389209
97	1.820121	1.820121	0.394710
98	1.826907	1.826907	0.391105
99	1.815046	1.815046	0.392664
100	1.822940	1.822940	0.390833
