epoch	total	loss_v	loss_u
1	4.365855	4.365855	0.170816
2	2.793098	2.793098	0.360438
3	2.657099	2.657099	0.357128
4	2.497016	2.497016	0.344360
5	2.401741	2.401741	0.307050
6	2.243700	2.243700	0.280941
7	2.194821	2.194821	0.268898
8	2.166193	2.166193	0.265677
9	2.183501	2.183501	0.265098
10	2.140112	2.140112	0.263181
11	2.148215	2.148215	0.264332
12	2.119168	2.119168	0.264261
13	2.117219	2.117219	0.264866
14	2.123001	2.123001	0.266491
15	2.069467	2.069467	0.260256
16	2.105332	2.105332	0.264328
17	2.062309	2.062309	0.262523
18	2.073015	2.073015	0.264135
19	2.061310	2.061310	0.263584
20	2.077959	2.077959	0.262600
21	2.089624	2.089624	0.263020
22	2.085620	2.085620	0.262960
23	2.076391	2.076391	0.263778
24	2.072803	2.072803	0.263492
25	2.094418	2.094418	0.264417
26	2.076509	2.076509	0.263261
27	2.051016	2.051016	0.260933
28	2.065024	2.065024	0.262192
29	2.068103	2.068103	0.263430
30	2.026805	2.026805	0.262385
31	2.047653	2.047653	0.265773
32	2.060232	2.060232	0.266279
33	2.061728	2.061728	0.265994
34	2.060460	2.060460	0.266710
35	2.019882	2.019882	0.268613
36	2.024372	2.024372	0.268086
37	2.010023	2.010023	0.270003
38	2.048183	2.048183	0.272385
39	2.031697	2.031697	0.274902
40	2.065987	2.065987	0.277737
41	2.044462	2.044462	0.280160
42	2.044310	2.044310	0.278172
43	2.040861	2.040861	0.281647
44	2.034591	2.034591	0.279425
45	2.025043	2.025043	0.276677
46	2.011217	2.011217	0.278914
47	2.015470	2.015470	0.279258
48	2.020053	2.020053	0.280639
49	2.033416	2.033416	0.281735
50	2.020874	2.020874	0.281221
51	2.023813	2.023813	0.283299
52	2.046656	2.046656	0.283636
53	2.032616	2.032616	0.279830
54	2.065553	2.065553	0.287538
55	2.023860	2.023860	0.285643
56	2.022025	2.022025	0.290118
57	2.013280	2.013280	0.289360
58	2.018508	2.018508	0.288207
59	2.014581	2.014581	0.286583
60	2.038640	2.038640	0.292168
61	2.015739	2.015739	0.287929
62	1.983136	1.983136	0.285745
63	2.026370	2.026370	0.289526
64	2.030866	2.030866	0.291596
65	2.033748	2.033748	0.291004
66	1.988108	1.988108	0.288790
67	1.990996	1.990996	0.287064
68	2.021534	2.021534	0.293074
69	1.989259	1.989259	0.295491
70	2.003295	2.003295	0.296936
71	2.010434	2.010434	0.294997
72	1.983077	1.983077	0.294775
73	2.007259	2.007259	0.294272
74	1.978767	1.978767	0.297447
75	1.928450	1.928450	0.298589
76	1.968131	1.968131	0.299111
77	1.935828	1.935828	0.296871
78	1.953774	1.953774	0.301575
79	1.964549	1.964549	0.304072
80	1.953438	1.953438	0.301727
81	1.952189	1.952189	0.302513
82	1.939005	1.939005	0.302434
83	1.945724	1.945724	0.303119
84	1.945492	1.945492	0.300001
85	1.988898	1.988898	0.305753
86	1.947290	1.947290	0.306540
87	1.935755	1.935755	0.304641
88	1.939984	1.939984	0.306666
89	1.954430	1.954430	0.306728
90	1.934477	1.934477	0.306271
91	1.939882	1.939882	0.303923
92	1.918076	1.918076	0.304551
93	1.907453	1.907453	0.307455
94	1.921443	1.921443	0.308922
95	1.958435	1.958435	0.312237
96	1.902993	1.902993	0.308868
97	1.910338	1.910338	0.311215
98	1.915740	1.915740	0.308782
99	1.903435	1.903435	0.307833
100	1.904426	1.904426	0.310684
